# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf    : 5.939300e+01
# lRef       : 1.000000e+00
# Aref       : 1.000000e+00
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
1            	4.731240e+00	4.092742e+00	3.138814e+00	6.300647e+00	-3.161833e+00
2            	3.963530e+00	3.288375e+00	2.851258e+00	5.389159e+00	-2.537901e+00
3            	-3.017379e-01	-3.439645e-01	1.269157e-01	-2.382801e-01	3.651958e-01
4            	-2.787293e+00	-2.353489e+00	-1.681922e+00	-3.628255e+00	1.946332e+00
5            	-2.236039e+00	-1.797962e+00	-1.559163e+00	-3.015620e+00	1.456457e+00
6            	3.587995e-01	4.063277e-01	-5.578227e-02	3.309083e-01	-3.866906e-01
7            	1.792014e+00	1.535123e+00	1.040036e+00	2.312033e+00	-1.271996e+00
8            	1.373208e+00	1.064087e+00	1.095374e+00	1.920895e+00	-8.255204e-01
9            	-3.103922e-02	-1.921152e-01	4.197521e-01	1.788368e-01	2.409153e-01
10           	-8.935645e-01	-8.595197e-01	-2.749416e-01	-1.031035e+00	7.560937e-01
11           	-6.822703e-01	-5.784109e-01	-4.255768e-01	-8.950587e-01	4.694818e-01
12           	6.966541e-02	1.407256e-01	-1.837784e-01	-2.222377e-02	-1.615546e-01
13           	6.120467e-01	5.731475e-01	2.503329e-01	7.372132e-01	-4.868803e-01
14           	5.001740e-01	3.890433e-01	4.188569e-01	7.096024e-01	-2.907455e-01
15           	8.411753e-02	-2.689207e-02	3.416459e-01	2.549405e-01	8.670542e-02
16           	-2.121049e-01	-2.779883e-01	1.053335e-01	-1.594381e-01	2.647716e-01
17           	-1.773937e-01	-1.885802e-01	-5.049145e-02	-2.026394e-01	1.521479e-01
18           	4.080758e-02	4.462656e-02	-5.099543e-02	1.530986e-02	-6.630529e-02
19           	1.875025e-01	1.741104e-01	4.943122e-02	2.122181e-01	-1.627869e-01
20           	2.032398e-01	1.538732e-01	1.831723e-01	2.948259e-01	-1.116536e-01
21           	1.110945e-01	3.656216e-02	2.505879e-01	2.363885e-01	1.419941e-02
22           	3.271738e-02	-3.727718e-02	2.076516e-01	1.365432e-01	7.110840e-02
23           	1.488020e-02	-3.844767e-02	1.257262e-01	7.774328e-02	4.798287e-02
24           	3.959612e-02	8.978531e-03	3.613376e-02	5.766300e-02	-2.152924e-02
25           	7.697724e-02	5.057078e-02	2.826987e-02	9.111217e-02	-6.284230e-02
26           	9.096425e-02	5.512695e-02	7.766808e-02	1.297983e-01	-5.213021e-02
27           	9.445102e-02	3.834797e-02	1.703220e-01	1.796120e-01	-9.290017e-03
28           	8.152573e-02	1.835286e-02	1.908449e-01	1.769482e-01	1.389671e-02
29           	7.072079e-02	1.236059e-02	1.587027e-01	1.500721e-01	8.630559e-03
30           	6.818245e-02	1.888795e-02	1.129428e-01	1.246539e-01	-1.171104e-02
31           	6.910627e-02	2.800426e-02	7.934455e-02	1.087785e-01	-2.943399e-02
32           	7.278395e-02	3.026306e-02	8.738492e-02	1.164764e-01	-2.909149e-02
33           	7.883833e-02	2.780078e-02	1.234595e-01	1.405681e-01	-1.710860e-02
34           	8.226841e-02	2.409427e-02	1.506459e-01	1.575913e-01	-6.945473e-03
35           	8.214903e-02	2.388412e-02	1.507956e-01	1.575468e-01	-6.751228e-03
36           	7.898963e-02	2.421359e-02	1.332197e-01	1.455995e-01	-1.237976e-02
37           	7.604915e-02	2.511170e-02	1.165462e-01	1.343223e-01	-1.777604e-02
38           	7.576259e-02	2.476977e-02	1.146882e-01	1.331067e-01	-1.841847e-02
